SMILES,logP,tPSA,MW,SweetSpot
COCCOc1ccccc1NC(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,0.8129,105.78,388.1746699,No
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(C(F)(F)F)cc4)c3)cc2s1,5.7897,101.05,526.0147946,No
C[C@H]1COCCN1c1nc(-c2cnc(N)cc2C(F)(F)F)cc(C2(S(C)(=O)=O)CC2)n1,2.3984,111.3,457.1395452,No
CC1Cc2c(ccc(F)c2F)N1C(=S)Cc1nc(N2CCOCC2)c(F)c(=S)[nH]1,3.71419,44.39,440.0952379,No
Nc1nc2ccc(-c3cncc(S(=O)(=O)NCc4ccccc4)c3)cn2n1,1.852,115.27,380.1055448,No
CC(=O)Nc1cc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)ncc1C,2.5807,120.03,362.1603572,No
N#CCCCOc1cc(Cl)cc(Cl)c1-c1nc(N)nc2c1CN(C(=O)NC1CCC1)C2,4.29288,117.16,460.1181293,No
CCNC(=O)Nc1ccc(-c2nc3c(c(N4C[C@@H]5CC[C@H](C4)O5)n2)CS(=O)(=O)C3)cc1,2.081,113.52,443.1627253,No
OCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,3.5456,75.86,341.1276601,No
Cc1csc2cc([C@H](C)Nc3ncnc(N)c3C#N)c(-c3ccccc3)c(=O)n12,3.7534,109.1,402.1262802,Yes
CN1CCN(C(=O)c2cc([C@H]3CCCN3c3cc(F)cc(F)c3)c3oc(N4CCOCC4)cc(=O)c3c2)CC1,3.6369,69.47,538.2391619,No
COC(=O)c1ccccc1-c1nc2ccc(-c3cccc(N4CCOCC4)c3)nc2n1-c1ccc(C2(N)CCC2)cc1,5.7156,95.5,559.2583399,No
C=Cc1c(N)ncnc1N1CCC(c2nc(-c3ccc(C(F)(F)F)cc3)cn2CCN2CCCC2)CC1,5.0639,76.1,511.2671287,No
Oc1cccc(Nc2nc3ccccc3n2-c2ncnc(NCC(F)(F)F)n2)c1,3.6339,100.78,401.1211927,Yes
Nc1ncnc(N2CCC(c3nc(-c4ccc(C(F)(F)F)cc4)cn3CCN3CCCC3)CC2)c1Br,5.1834,76.1,563.1619907,No
Cn1ccc(-c2ccc(-c3cnc4c(N)nc([C@H]5C[C@@H]6CC[C@H](C5)N6C(=O)c5nnc[nH]5)cn34)cn2)n1,2.4429,148.8,495.2243544,No
C[C@H]1CN(S(C)(=O)=O)C[C@@H](C)N1Cc1cn2cc(-c3cnc(N)nc3)nc(N3CCOCC3)c2n1,0.4593,135.08,501.2270569,No
CNCc1cccc(Cc2c([C@H](C)Nc3ncnc(N)c3C#N)cc3scc(C)n3c2=O)c1,3.3966,121.13,459.1841294,No
COc1cc(-c2ccc3c(n2)C(C)(C)N(c2cnn(CC(F)(F)F)c2)C3=O)cnc1OC,3.8151,82.37,447.1518242,No
CNC(=O)Nc1ccc(-c2nc(CS(=O)(=O)c3ccncc3)cc(N3CCOC[C@@H]3C)n2)cc1,2.4889,126.41,482.1736243,No
CC1Cc2c(Br)cccc2N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,1.8893,78.53,432.0797026,No
O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)csc12,3.3581,42.68,313.0772643,No
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCOc2ccccc21,0.5746,87.76,356.1484551,No
O=C(NCCc1ccc(Cl)cc1)NC1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,6.213,100,604.2465854,No
COc1ccc(-c2cc3c(C)nc(N)nc3n(C3CCCC3)c2=O)cn1,2.86782,95.92,351.1695249,No
